Semester,Part,Module,Programmes,Name,Lab Type,Contact,Preparation Requirement,Day of Week,Start Time,End Time,Total Student Number,Requirements,Requirement Status,SW01,SW02,SW03,SW04,SW05,SW06,SW07,SW08,SW09,SW10,SW11,SW12,HW01,HW02,HW03,EW01,EW02,CW01,SW01,SW02,SW03,SW04,SW05,SW06,SW07,SW08,HW01,HW02,HW03,SW09,SW10,SW11,SW12,EW01,EW02,EW03
S1,I,AICE1001,AICE,Ethics and Security of Computing,Computer,Han Wu,Check software,Thursday,14,17,58,NA,Prepared,0,1,0,1,0,0,1,0,0,0,0,0,CH,CH,CH,EXAM,EXAM,consolidation ,0,0,0,0,0,0,0,0,CH,CH,CH,0,0,0,0,EXAM,EXAM,EXAM
S1,I,AICE1002,AICE,Digital Computer Systems,Computer,Graeme Bragg,Check software,Thursday,14,17,58,NA,Prepared,0,0,0,0,1,1,0,1,0,1,1,0,CH,CH,CH,EXAM,EXAM,consolidation ,0,0,0,0,0,0,0,0,CH,CH,CH,0,0,0,0,EXAM,EXAM,EXAM
S1,I,AICE1003,AICE,High-Level Programming,Computer,Son Hoang,Check software,Tuesday,14,17,58,NA,Prepared,0,1,1,1,1,1,1,1,1,1,1,1,CH,CH,CH,EXAM,EXAM,consolidation ,0,0,0,0,0,0,0,0,CH,CH,CH,0,0,0,0,EXAM,EXAM,EXAM
S1,I,AICE1004,AICE,Mathematics for Artificial Intelligence and Computer Engineering (I),Computer,Andersen Ang,Check software,Thursday,14,17,58,NA,Prepared,0,1,1,0,0,0,0,0,1,0,0,0,CH,CH,CH,EXAM,EXAM,consolidation ,0,0,0,0,0,0,0,0,CH,CH,CH,0,0,0,0,EXAM,EXAM,EXAM
S1,II,AICE2001,AICE,Scientific Computing,Computer,Andersen Ang,,Monday,10,12,100,NA,Prepared,1,1,1,1,1,1,1,1,1,1,1,0,CH,CH,CH,EXAM,EXAM,consolidation ,0,0,0,0,0,0,0,0,CH,CH,CH,0,0,0,0,EXAM,EXAM,EXAM
S1,II,AICE2002,AICE,Artificial Intelligence and Learning Machines,Computer,Jennifer Williams and Indu Bodala,,Friday,10,13,100,NA,Prepared,0,1,1,1,1,1,1,1,1,1,1,1,CH,CH,CH,EXAM,EXAM,consolidation ,0,0,0,0,0,0,0,0,CH,CH,CH,0,0,0,0,EXAM,EXAM,EXAM
S1,II,AICE2003,AICE,Electronics,Practical and Computer,David Thomas,,Monday,14,17,100,NA,Not prepared,0,0,1,1,1,1,1,1,1,1,1,1,CH,CH,CH,EXAM,EXAM,consolidation ,0,0,0,0,0,0,0,0,CH,CH,CH,0,0,0,0,EXAM,EXAM,EXAM
S1,II,AICE2004,AICE,Parallel and Distributed Computing,Computer,Graeme Bragg,Bring hardware from Graeme,Friday,14,17,100,NA,Prepared,0,0,1,0,1,0,1,1,0,0,0,0,CH,CH,CH,EXAM,EXAM,consolidation ,0,0,0,0,0,0,0,0,CH,CH,CH,0,0,0,0,EXAM,EXAM,EXAM
S1,III,AICE3002,AICE,Introduction to Deep Learning,Computer,Jonathon Hare,,Wednesday,10,12,43,NA,Prepared,1,1,1,1,1,1,1,1,0,0,0,0,CH,CH,CH,EXAM,EXAM,consolidation ,0,0,0,0,0,0,0,0,CH,CH,CH,0,0,0,0,EXAM,EXAM,EXAM
S1,VI,AICE6001,AICE,Introduction to Deep Learning,Computer,Jonathon Hare,Check lab content and software,Wednesday,10,12,22,NA,Prepared,1,1,1,1,1,1,1,1,0,0,0,0,CH,CH,CH,EXAM,EXAM,consolidation ,0,0,0,0,0,0,0,0,CH,CH,CH,0,0,0,0,EXAM,EXAM,EXAM
S1,I,ELEC1300-T13,ELEC,T13-Traffic light,Practical,Geoff Merrett,Bring hardware from B59 L2 Lab,Tuesday,10,13,100,NA,Not prepared,0,1,0,0,0,0,1,1,0,0,0,0,CH,CH,CH,EXAM,EXAM,consolidation ,0,0,0,0,0,0,0,0,CH,CH,CH,0,0,0,0,EXAM,EXAM,EXAM
S1,I,ELEC1300-T13,ELEC,T13-Traffic light,Practical,Geoff Merrett,Bring hardware from B59 L2 Lab,Thursday,10,13,100,NA,Not prepared,0,1,0,0,0,0,1,1,0,0,0,0,CH,CH,CH,EXAM,EXAM,consolidation ,0,0,0,0,0,0,0,0,CH,CH,CH,0,0,0,0,EXAM,EXAM,EXAM
S1,III,ELEC3227,ELEC,Embedded Networked Systems,Practical,Geoff Merrett,Bring hardware from B59 L2 Lab,Wednesday,10,13,50,NA,Not prepared,0,0,1,1,1,1,1,0,1,0,1,0,CH,CH,CH,EXAM,EXAM,consolidation ,0,0,0,0,0,0,0,0,CH,CH,CH,0,0,0,0,EXAM,EXAM,EXAM
